id,province,regency,timezone
3,JAWA TENGAH,PURWOREJO,+07:00
869,SULAWESI SELATAN,BARRU,+08:00
1000,JAWA TIMUR,SITUBONDO,+07:00
1662,JAWA TIMUR,BANYUWANGI,+07:00
1739,LAMPUNG,LAMPUNG BARAT,+07:00
2300,BALI,BULELENG,+08:00
2410,JAWA TENGAH,CILACAP,+07:00
2465,JAWA TENGAH,KENDAL,+07:00
2526,LAMPUNG,PESAWARAN,+07:00
2527,LAMPUNG,PESAWARAN,+07:00
2543,GORONTALO,POHUWATO,+08:00
2652,JAWA TIMUR,BANYUWANGI,+07:00
2660,JAWA BARAT,SUBANG,+07:00
2666,JAWA TIMUR,SITUBONDO,+07:00
3009,JAWA TENGAH,JEPARA,+07:00
3550,JAWA BARAT,INDRAMAYU,+07:00
3593,JAWA TIMUR,PROBOLINGGO,+07:00
4459,JAWA TENGAH,CILACAP,+07:00
4466,JAWA TIMUR,SITUBONDO,+07:00
4540,JAWA BARAT,GARUT,+07:00
5108,JAWA TIMUR,GRESIK,+07:00
5275,BANTEN,PANDEGLANG,+07:00
5432,JAWA TENGAH,CILACAP,+07:00
5992,JAWA TENGAH,PEMALANG,+07:00
5993,JAWA TENGAH,PURWOREJO,+07:00
6081,JAWA TENGAH,CILACAP,+07:00
6084,JAWA TENGAH,PURWOREJO,+07:00
6142,ACEH,PIDIE JAYA,+07:00
6206,JAWA TIMUR,LAMONGAN,+07:00
6259,JAWA TIMUR,BANYUWANGI,+07:00
6282,SULAWESI SELATAN,BARRU,+08:00
6505,JAWA TIMUR,PROBOLINGGO,+07:00
6513,JAWA TIMUR,BANYUWANGI,+07:00
6868,LAMPUNG,PESISIR BARAT,+07:00
7415,JAWA TENGAH,PURWOREJO,+07:00
7727,JAWA TIMUR,BANYUWANGI,+07:00
7767,JAWA BARAT,PANGANDARAN,+07:00
7835,JAWA TENGAH,CILACAP,+07:00
7926,JAWA TENGAH,KENDAL,+07:00
7941,JAWA TIMUR,NGANJUK,+07:00
7996,SUMATERA BARAT,AGAM,+07:00
7997,SUMATERA BARAT,AGAM,+07:00
8051,JAWA BARAT,CIREBON,+07:00
8052,JAWA BARAT,CIREBON,+07:00
8053,JAWA BARAT,CIREBON,+07:00
8054,JAWA BARAT,CIREBON,+07:00
8106,JAWA TENGAH,KEBUMEN,+07:00
8283,JAWA BARAT,CIREBON,+07:00
8284,JAWA BARAT,CIREBON,+07:00
8286,JAWA BARAT,CIREBON,+07:00
8289,JAWA BARAT,CIREBON,+07:00
8293,JAWA BARAT,CIREBON,+07:00
8296,JAWA BARAT,CIREBON,+07:00
8298,JAWA TENGAH,CILACAP,+07:00
8299,JAWA BARAT,CIREBON,+07:00
8303,JAWA BARAT,CIREBON,+07:00
8304,JAWA TENGAH,CILACAP,+07:00
8306,JAWA BARAT,CIREBON,+07:00
8307,JAWA BARAT,CIREBON,+07:00
8308,JAWA BARAT,CIREBON,+07:00
8309,JAWA BARAT,CIREBON,+07:00
8310,JAWA TENGAH,CILACAP,+07:00
8311,JAWA TENGAH,CILACAP,+07:00
8312,JAWA TENGAH,CILACAP,+07:00
8314,JAWA TENGAH,CILACAP,+07:00
8315,JAWA TENGAH,CILACAP,+07:00
8316,JAWA TENGAH,CILACAP,+07:00
8317,JAWA TENGAH,CILACAP,+07:00
8318,JAWA TENGAH,CILACAP,+07:00
8319,JAWA TENGAH,CILACAP,+07:00
8320,JAWA TENGAH,CILACAP,+07:00
8321,JAWA TENGAH,CILACAP,+07:00
8325,JAWA TENGAH,CILACAP,+07:00
8326,JAWA TENGAH,CILACAP,+07:00
8328,JAWA TENGAH,CILACAP,+07:00
8330,JAWA BARAT,CIREBON,+07:00
8332,JAWA TENGAH,CILACAP,+07:00
8333,JAWA TENGAH,CILACAP,+07:00
8334,JAWA TENGAH,CILACAP,+07:00
8335,JAWA TENGAH,CILACAP,+07:00
8337,JAWA TENGAH,CILACAP,+07:00
8339,JAWA BARAT,CIREBON,+07:00
8345,BALI,JEMBRANA,+08:00
8367,BALI,JEMBRANA,+08:00
8368,BALI,JEMBRANA,+08:00
8369,BALI,JEMBRANA,+08:00
8371,JAWA TENGAH,CILACAP,+07:00
8373,JAWA TENGAH,CILACAP,+07:00
8375,,,+07:00
8383,,,+07:00
8385,,,+07:00
8393,JAWA BARAT,CIREBON,+07:00
8394,BALI,JEMBRANA,+08:00
8402,,,+07:00
8405,,,+07:00
8408,,,+07:00
8409,,,+07:00
8417,,,+07:00
8442,BALI,JEMBRANA,+08:00
8452,,,+07:00
8470,JAWA TENGAH,CILACAP,+07:00
8503,,,+07:00
8506,,,+07:00
8529,JAWA BARAT,CIREBON,+07:00
8530,JAWA TENGAH,CILACAP,+07:00
8532,JAWA TENGAH,CILACAP,+07:00
8541,BALI,JEMBRANA,+08:00
8559,BALI,JEMBRANA,+08:00
8699,,,+07:00
8730,BALI,JEMBRANA,+07:00
8755,,,+07:00
8761,,,+07:00
8763,,,+07:00
8790,JAWA TIMUR,SUMENEP,+07:00
8898,BALI,JEMBRANA,+08:00
8903,JAWA TENGAH,CILACAP,+07:00
8921,JAWA TIMUR,JEMBER,+07:00
8933,BANTEN,,+07:00
8997,JAWA BARAT,SUBANG,+07:00
9044,JAWA TIMUR,SUMENEP,+07:00
9070,,,+07:00
9103,OUTSIDE INDONESIA,,+02:00
9225,JAWA TENGAH,KENDAL,+07:00
9308,NUSA TENGGARA BARAT,SUMBAWA,+08:00
9331,KEPULAUAN BANGKA BELITUNG,BANGKA,+07:00
9375,,,+07:00
9380,,,+07:00
9384,,,+07:00
9463,JAWA TENGAH,PEMALANG,+07:00
9501,JAWA TIMUR,PROBOLINGGO,+07:00
9502,JAWA TIMUR,JEMBER,+07:00
9516,JAWA TIMUR,JEMBER,+07:00
9653,SULAWESI SELATAN,PINRANG,+08:00
9693,BALI,JEMBRANA,+08:00
9751,JAWA TIMUR,JEMBER,+07:00
9789,KEPULAUAN BANGKA BELITUNG,BANGKA,+07:00
9794,JAWA TIMUR,JEMBER,+07:00
9806,JAWA TIMUR,JEMBER,+07:00
9840,JAWA TIMUR,JEMBER,+07:00
10158,JAWA TIMUR,SITUBONDO,+07:00
10202,KEPULAUAN BANGKA BELITUNG,BANGKA,+07:00
10229,JAWA TIMUR,JEMBER,+07:00
10232,JAWA TIMUR,JEMBER,+07:00
10235,JAWA TIMUR,JEMBER,+07:00
10239,JAWA TIMUR,JEMBER,+07:00
10248,JAWA TIMUR,JEMBER,+07:00
10250,JAWA TIMUR,JEMBER,+07:00
10255,JAWA TIMUR,JEMBER,+07:00
10256,JAWA TIMUR,JEMBER,+07:00
10259,JAWA TIMUR,JEMBER,+07:00
10263,JAWA TIMUR,JEMBER,+07:00
10288,JAWA TIMUR,JEMBER,+07:00
10324,SULAWESI TENGAH,DONGGALA,+08:00
10325,SULAWESI TENGAH,DONGGALA,+08:00
10326,SULAWESI TENGAH,DONGGALA,+08:00
10465,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,+07:00
10605,JAWA TIMUR,PACITAN,+07:00
10672,,,+07:00
10806,,,+07:00
10967,JAWA TIMUR,BANYUWANGI,+07:00
