cycle_id,size,weight,id,harvested_at,status
15308,119.78,481.2,15542.0,2023-01-03,Partial
15308,119.78,65.54,15543.0,2023-01-03,Partial
15308,63.42,111.66,15919.0,2023-01-21,Partial
15308,113.57,180.09,15920.0,2023-01-21,Partial
15308,113.57,346.57,15921.0,2023-01-21,Partial
15308,101.81,825.3,16166.0,2023-02-02,Full
15308,53.77,216.15,16167.0,2023-02-02,Full
15308,53.77,125.86,16168.0,2023-02-02,Full
18918,75.62,551.4,5905.0,2021-06-18,Partial
18918,75.62,0.5,5906.0,2021-06-18,Partial
18918,58.61,602.81,6000.0,2021-06-30,Partial
18918,58.61,2.66,6001.0,2021-06-30,Partial
18918,50.0,637.13,6002.0,2021-07-08,Partial
18918,50.0,4.8,6003.0,2021-07-08,Partial
18918,37.311,3131.6,6439.0,2021-07-28,Full
18918,37.311,58.29,6440.0,2021-07-28,Full
17721,61.0,315.93,19432.0,2023-05-30,Full
12359,94.0,304.23,15017.0,2022-12-10,Partial
12359,94.0,8.44,15018.0,2022-12-10,Partial
12359,79.0,973.75,15561.0,2022-12-19,Partial
12359,79.0,16.75,15562.0,2022-12-19,Partial
12359,94.0,304.23,15996.0,2022-12-11,Partial
12359,94.0,8.44,15997.0,2022-12-11,Partial
12359,39.0,3797.59,16250.0,2023-01-31,Full
12359,39.0,10.0,16251.0,2023-01-31,Full
12359,39.0,3.0,16252.0,2023-01-31,Full
12359,67.5,103.86,16253.0,2023-01-31,Full
12359,67.5,6.0,16254.0,2023-01-31,Full
12359,39.0,53.63,16255.0,2023-01-31,Full
12359,39.0,2.6,16256.0,2023-01-31,Full
14822,93.55,377.85,12479.0,2022-07-19,Partial
14822,71.59,383.87,12480.0,2022-08-01,Partial
14822,60.0,2416.24,12481.0,2022-08-13,Full
16064,50.0,2.56,11621.0,2022-07-04,Full
20151,133.0,391.28,15654.0,2023-01-08,Partial
20151,192.0,30.0,15698.0,2023-01-08,Partial
20151,192.0,3.0,15762.0,2023-01-08,Partial
20151,102.0,554.04,15808.0,2023-01-16,Partial
20151,102.0,478.88,15860.0,2023-01-16,Partial
20151,180.0,75.16,15981.0,2023-01-16,Partial
20151,73.5,891.84,16292.0,2023-02-10,Full
20151,73.5,31.46,16293.0,2023-02-10,Full
20151,190.0,29.0,16315.0,2023-02-10,Full
20151,190.0,6.44,16319.0,2023-02-10,Full
20151,190.0,2.0,16320.0,2023-02-10,Full
20151,190.0,2.78,16321.0,2023-02-10,Full
20151,190.0,5.0,16322.0,2023-02-10,Full
20151,190.0,1.5,16323.0,2023-02-10,Full
20151,190.0,17.22,16324.0,2023-02-10,Full
17633,82.09,117.11,9388.0,2022-01-09,Full
17741,96.6,244.8,11156.0,2022-06-18,Partial
17741,96.6,8.76,11164.0,2022-06-18,Partial
17741,37.8,841.87,12156.0,2022-07-25,Full
17741,37.0,13.9,12157.0,2022-07-25,Full
20837,141.0,1062.73,15567.0,2023-01-06,Full
20837,141.0,104.82,15568.0,2023-01-06,Full
20837,141.0,82.26,15569.0,2023-01-06,Full
20259,130.0,222.6,16610.0,2023-03-07,Partial
20259,91.2,413.55,16902.0,2023-03-21,Partial
20259,68.4,494.74,17201.0,2023-04-04,Partial
20259,54.48,410.92,17496.0,2023-04-15,Partial
20259,41.8,2464.66,17857.0,2023-05-03,Full
15778,160.0,666.8,12872.0,2022-08-28,Full
15067,350.0,84.0,16923.0,2023-03-24,Partial
15067,350.0,173.0,17097.0,2023-04-02,Full
16636,165.0,100.0,16426.0,2023-02-19,Partial
16636,130.0,30.0,16554.0,2023-02-25,Partial
16636,120.0,515.0,16555.0,2023-02-27,Full
19318,98.0,800.0,13132.0,2022-09-03,Full
12491,50.0,4600.0,12813.0,2022-07-20,Failed
16513,139.24,573.24,15536.0,2023-01-03,Partial
16513,139.24,1.88,15537.0,2023-01-03,Partial
16513,102.31,745.6,15928.0,2023-01-22,Partial
16513,102.31,25.45,15929.0,2023-01-22,Partial
16513,89.24,973.03,16177.0,2023-02-01,Full
16513,98.44,38.89,16178.0,2023-02-01,Full
20294,103.0,215.0,17826.0,2023-05-09,Full
15017,296.8,0.4,10446.0,2022-04-09,Partial
15017,170.3,1.42,10447.0,2022-04-16,Partial
15017,126.4,1.52,10448.0,2022-04-23,Partial
15017,79.9,2071.72,10644.0,2022-05-12,Full
15017,102.8,597.4,10670.0,2022-05-04,Partial
