pond_id,cycle_id,measured_date,morning_temperature,evening_temperature,morning_do,evening_do,morning_salinity,evening_salinity,morning_pH,evening_pH,transparency,turbidity,ammonia,nitrate,nitrite,alkalinity,hardness,calcium,magnesium,carbonate,bicarbonate,tom,total_plankton_
35456,23531,2022-09-27,27.5,,3.4,,31.0,,,,50.0,,,,,,,,,,,,
37074,15493,2023-03-02,29.2,28.6,,,15.0,15.0,7.87,,,,,,,,,,,,,,
32638,15498,2022-06-07,27.0,29.0,,,31.0,31.0,8.1,8.1,95.0,,,,,,,,,,,,
18212,16294,2022-10-19,25.3,27.1,12.5,17.4,13.0,13.0,7.9,,40.0,,,,1.313,70.0,4643.0,595.0,4048.0,,70.0,175.0,
30607,20429,2022-04-04,28.7,31.1,4.9,,,,8.23,8.92,,,,,,,,,,,,,
32213,17832,2022-08-22,26.316,28.462,6.256,7.344,13.571,13.075,7.861,,,,,,,,,,,,,,
6,15756,2023-04-09,27.508,28.907,3.052,4.395,13.446,12.761,7.782,8.509,35.0,,,,,,,,,,,,
24013,16163,2021-11-25,28.6,32.6,4.28,4.61,15.6,14.6,7.92,,,,,,,,,,,,,,
35494,18559,2022-08-24,27.0,30.0,3.2,5.2,26.0,26.0,,,,,,,,,,,,,,,
32370,19318,2022-08-06,,26.0,,,,15.0,,,20.0,,,,,105.0,,,,,,,
7369,17721,2023-05-08,,,,,25.0,25.0,8.1,8.4,47.0,,,,,,,,,,,,
36818,18427,2022-12-05,28.3,29.5,4.55,4.3,31.5,,7.2,,35.0,,,,,,,,,,,,1810000.0
24265,17403,2023-05-12,28.0,29.8,,,3.0,3.0,8.0,,45.0,,,,,,,,,,,,
19173,19302,2022-09-15,27.0,30.0,,,15.0,15.0,8.2,,30.0,,,,,,,,,,,,
32250,17729,2022-06-15,29.3,29.5,7.5,7.8,21.0,21.0,8.3,,,,,,,,,,,,,,
30609,15778,2022-07-21,27.3,28.5,,,,,8.15,,35.0,,,,,,,,,,,,
5,17632,2022-05-03,26.903,29.043,5.846,6.849,17.755,17.275,7.989,8.538,30.0,,,,,,,,,,,,
31875,16335,2022-07-01,26.0,28.0,,,29.0,,8.0,8.2,55.0,,,,,,,,,,,,
21974,18403,2021-07-19,27.9,29.4,4.42,4.84,33.0,,7.61,8.1,45.0,,,,0.1,135.0,5630.24,350.0,1155.0,0.0,135.0,,560000.0
34687,15065,2023-03-09,29.2,28.925,2.3,4.7,,,,,,,,,1.34,,,,,,,,
34696,15487,2022-10-26,27.133333333,28.533333333,3.833333333,6.0,,,,,25.0,,,,,,,,,,,,
31463,18834,2022-04-25,27.0,29.0,,,25.0,25.0,8.8,9.2,60.0,,,,,,,,,,,,
36826,20151,2022-12-21,28.9,30.3,3.93,3.82,29.5,,7.3,,25.0,,,,,,,,,,,,
31876,20976,2022-05-09,29.0,30.0,,,28.0,28.0,9.0,9.1,57.5,,,,,,,,,,,,
31459,9091,2022-06-18,27.0,30.0,,,28.0,,8.0,8.2,60.0,,,,,,,,,,,,
34715,22184,2022-11-04,28.4,30.266666667,4.6,6.2,,,8.4,8.4,45.0,,,,,,,,,,,,
19188,18134,2021-04-05,28.5,31.5,5.85,8.78,13.0,14.0,8.3,,40.0,,,,,,,,,,,,
32309,20949,2022-04-07,,,,,10.0,,7.7,,50.0,,,,,180.0,,,,,,,
25398,16155,2022-05-11,28.5,30.0,6.3,8.7,16.0,14.0,7.65,8.43,80.0,,,,,,,,,,,,
36823,18190,2023-01-20,28.1,29.0,4.0,3.31,27.0,,7.3,,40.0,,,,,,,,,,,,
14349,12863,2023-03-17,,28.9,,4.7,,,,7.4,35.0,,,,,,,,,,,,
37065,20834,2023-01-28,27.1,29.4,4.2,4.5,15.0,15.0,7.94,8.14,42.5,,,,,,,,,,,,
33523,15812,2022-11-05,27.6,27.3,6.76,5.47,31.0,31.0,7.86,7.92,90.0,,,,,,,,,,,,
32216,19529,2022-07-15,26.978,28.901,5.621,6.37,7.233,7.108,8.012,,,,,,,,,,,,,,
30609,15778,2022-06-27,26.8,27.1,,,,,8.74,8.8,95.0,,,,,,,,,,,,
20910,19098,2022-07-29,28.3,,5.54,,24.0,,8.4,,60.0,,0.122,,,,,,,,,,
34709,18877,2022-10-16,27.0,17.1,4.6,10.12,,,8.2,8.4,50.0,,,,,,,,,,,,
32245,18028,2022-09-16,28.085,29.726,5.262,5.264,9.377,11.202,7.338,,,,,,,,,,,,,,
21959,20669,2021-06-27,27.5,28.2,5.92,5.63,30.0,,7.8,8.1,40.0,,,,,,,,,,,,
30610,20663,2022-04-22,28.5,30.8,4.9,,,,7.91,,30.0,,,,,,,,,,,,
20901,16880,2022-10-08,26.2,,5.67,,22.0,,7.57,,40.0,,,,,,,,,,,,
31481,20992,2022-07-26,24.0,27.0,,,30.0,,8.7,9.2,32.5,,,,,,,,,,,,
21963,22532,2021-04-26,28.3,29.5,5.8,6.36,21.0,,8.14,8.51,37.5,,,,0.01,100.0,2845.35,150.0,600.0,10.0,90.0,,0.0
7370,20739,2022-10-20,27.6,28.0,4.29,5.23,31.0,31.0,8.0,8.3,48.0,,,,,,,,,,,,1277500.0
32214,16050,2022-06-25,28.438,28.81,5.4,6.22,8.378,9.24,8.091,,,,,,,,,,,,,,
32398,15789,2022-05-07,29.9,32.9,7.45,6.99,18.5,16.7,7.62,,,,,,,,,,,,,,
31480,18609,2022-07-08,28.0,30.0,,,31.0,,8.1,8.5,40.0,,,,,,,,,,,,
31329,16064,2022-05-28,27.0,27.8,6.06,6.5,14.5,14.8,7.5,8.06,,,,,,,,,,,,,
12541,18674,2022-06-27,25.9,28.1,,,,,7.5,7.8,36.0,,,,,,,,,,,,
20913,12357,2022-07-30,28.6,,5.22,,20.0,,8.5,,55.0,,,,,,,,,,,,
37063,20024,2023-03-06,26.5,28.1,4.7,5.1,18.0,18.0,7.76,8.17,32.5,,,,,,,,,,,,
35565,18025,2023-02-08,27.5,28.7,5.2,5.5,14.0,14.0,8.1,8.5,27.5,,,,,,,,,,,,
34706,18237,2023-04-13,28.1,30.033333333,3.366666667,4.316666667,,,7.166666667,7.5,40.0,,,,,,,,,,,,
38699,19614,2023-03-09,29.046,33.449,3.564,10.557,18.294,18.396,7.981,,,,,,,,,,,,,,
31253,21967,2022-09-10,,28.0,,,,20.0,,8.06,40.0,,,,,,,,,,,,
8,17749,2023-03-28,25.855,29.142,3.616,3.288,14.036,12.649,7.581,,35.0,,,,,,,,,,,,
32259,17306,2022-06-13,28.9,28.7,5.0,5.6,18.0,18.0,7.8,7.8,,,,,,,,,,,,,
20918,20763,2022-07-25,26.8,,4.8,,27.0,,8.9,,50.0,,,,,,,,,,,,
12272,18755,2022-06-19,27.816,29.172,6.86,7.418,21.881,20.481,7.785,,40.0,,,,,,,,,,,,
20920,21598,2022-08-03,29.3,,5.18,,21.0,,7.81,,60.0,,0.038,,,100.0,724.0,290.0,750.0,,100.0,85.0,200000.0
32638,15498,2022-07-01,26.0,28.0,,,31.0,31.0,7.9,8.4,32.5,,,,,,,,,,,,
36099,17743,2022-11-27,27.0,,,,34.0,,7.8,,35.0,,,,,,,,,,,,
34702,17628,2022-12-01,25.333333333,27.2,4.566666667,4.683333333,,,7.6,7.6,50.0,,,,,,,,,,,,
32458,17860,2022-06-05,27.328,27.25,3.94,6.85,12.156,12.24,7.759,,,,,,,,,,,,,,
2,15835,2022-02-14,27.85,29.217,5.071,5.292,20.886,19.998,7.717,7.808,72.5,,,,,,,,,,,,
31477,14972,2022-06-30,26.0,30.0,,,30.0,,8.0,8.5,40.0,,,,0.06,134.0,5353.0,364.0,1212.0,4.0,130.0,101.0,1510000.0
32629,20989,2022-09-25,,,,,6.0,,7.9,,30.0,,,,,,,,,,,,
32629,20989,2022-10-12,,,,,5.0,,8.0,,30.0,,,,,,,,,,,,
20914,12856,2022-08-13,,,,,23.0,,7.72,,45.0,,,,,,,,,,,,
38365,18238,2023-04-01,27.845,30.179,6.745,8.723,11.641,9.006,7.536,,30.0,,,,,,,,,,,,
32399,14579,2022-07-05,30.16,31.944,7.531,7.719,10.541,10.134,8.469,,,,,,,,,,,,,,
32250,19671,2022-10-08,27.946,30.082,5.158,7.504,18.919,17.937,8.4,,,,,,,,,,,,,,
34691,14094,2023-03-02,29.5,30.666666667,3.633333333,5.7,,,,,25.0,,,,,,,,,,,,
32231,16330,2022-08-29,27.558,27.022,4.246,4.852,20.232,24.729,8.442,7.875,,,,,,,,,,,,,
34687,15065,2023-01-04,30.0,31.2,3.2,4.966666667,,,8.1,8.4,35.0,,,,,,,,,,,,
25578,20742,2022-12-27,,,,,,,,,,,,0.0,0.05,260.0,,,,,244.0,72.0,260000.0
27258,17720,2022-05-05,28.0,31.0,,,22.0,22.0,7.8,8.0,27.5,,,,,,,,,,,,
38297,15015,2023-06-30,27.75,29.64,4.45,4.86,22.34,23.94,7.571,7.85,,,,,,,,,,,,,
34311,18536,2022-09-18,28.636,,4.565,,9.211,,7.804,,20.0,,,,,,,,,,,,
38481,17742,2023-04-06,29.7,31.11,3.56,5.39,20.81,19.74,7.53,,,,,,,,,,,,,,
32458,17860,2022-06-11,27.994,31.471,3.203,6.676,13.158,10.955,7.865,7.854,,,,,,,,,,,,,
32300,9104,2022-05-29,,31.531,,10.998,,6.631,,,,,,,,,,,,,,,
20912,16365,2022-07-25,26.8,,4.77,,20.0,,9.0,,60.0,,,,,,,,,,,,
21975,19247,2021-04-09,28.0,,5.77,,24.0,,8.01,8.12,87.5,,,,,95.0,3525.47,175.0,750.0,20.0,75.0,,0.0
19651,21098,2021-10-27,,31.35,,5.815,31.0,32.0,8.3,,40.0,,,,,,,,,,,,
32211,20124,2022-08-09,26.781,27.317,3.196,5.845,21.902,20.854,8.035,,,,,,,,,,,,,,
33335,12484,2022-11-11,,29.0,,,,10.0,,7.5,40.0,,,,,,,,,,,,
36818,18427,2022-12-03,29.2,30.7,3.59,3.8,33.0,,7.4,,37.5,,,,,,,,,,,,1490000.05
5,17632,2022-02-23,26.615,30.38,4.053,6.163,28.173,26.024,8.269,7.239,80.0,,,,,,,,,,,,
36250,21659,2022-09-03,,,,,15.0,,8.0,,40.0,,,,,,,,,,,,
38259,18057,2023-04-16,,30.2,,7.0,19.0,,8.2,8.2,45.0,,,,,,,,,,,,
37061,21182,2023-02-14,28.8,29.4,5.0,5.5,10.0,10.0,7.5,7.8,37.5,,,,,,,,,,,,
32212,21599,2022-05-17,26.7,28.9,5.0,8.0,20.0,20.0,8.45,,,,,,,,,,,,,,
34718,19048,2023-01-30,29.9,31.7,4.2,4.14,,,7.6,7.7,40.0,,,,,,,,,,,,
32196,19069,2022-11-18,27.6,28.9,4.9,,28.0,30.0,7.8,,,,,,,,,,,,,,
38729,20259,2023-03-02,,,,,,,8.1,8.4,,,,,,,,,,,,,
7367,17475,2023-03-19,,,,,27.0,27.0,8.1,8.4,,,,,,,,,,,,,
36822,19367,2022-12-20,28.8,30.5,3.95,4.38,31.5,,7.3,,27.5,,,,,,,,,,,,
12664,18673,2022-03-29,21.2,25.7,,,15.8,15.5,8.2,,,,,,,,,,,,,,
38253,19306,2023-03-31,,,,,29.0,,7.9,8.2,52.5,,,,,,,,,,,,
13266,16563,2022-07-29,,,,,17.0,17.0,8.2,,40.0,,,,,,,,,,,,
32248,18140,2022-09-13,27.915,,6.14,,24.04,,8.367,,,,,,,,,,,,,,
34698,17404,2022-12-14,30.4,31.8,5.033333333,5.783333333,,,,,15.0,,,,,,,,,,,,
32219,18604,2022-08-31,26.857,28.28,4.937,5.943,12.39,12.074,8.564,,,,,,,,,,,,,,
32305,16708,2022-06-05,27.1,28.8,7.0,8.0,12.0,11.5,7.31,,,,,,,,,,,,,,
12277,16711,2022-05-01,29.133,31.253,8.158,9.226,19.867,18.673,7.926,,50.0,,,,,,,,,,,,
37064,15301,2023-01-23,27.8,28.9,4.9,5.1,14.0,14.0,7.84,8.24,37.5,,,,,,,,,,,,
31247,18359,2022-08-27,27.0,,,,22.0,,8.04,,90.0,,,,,,,,,,,,
7371,15868,2023-01-06,27.3,,4.23,,22.0,20.0,7.6,,30.0,,,,,,,,,,,,
6738,16611,2022-04-07,,,5.0,,,,,,,,,,,,,,,,,,
20912,16365,2022-09-17,28.1,,4.71,,29.0,,7.66,,45.0,,,,,,,,,,,,
27104,20953,2021-12-15,,,,,,,7.87,8.04,45.0,,,,,,,,,,,,
31462,16272,2022-12-31,27.0,26.0,,,26.0,,7.7,7.9,30.0,,,,,,,,,,,,
7364,22813,2022-10-30,27.3,30.3,4.32,5.95,28.8,28.0,7.96,8.76,19.0,,,,,,,,,,,,
31454,18753,2022-07-05,28.0,30.0,,,30.0,,8.0,8.3,50.0,,,,0.048,146.0,5309.0,416.0,1189.0,0.0,146.0,101.0,1080000.0
32233,7616,2022-06-30,25.3,28.6,4.68,7.24,16.0,11.3,8.37,,,,,,,,,,,,,,
31875,16513,2022-12-02,28.0,28.0,,,25.0,,7.9,8.1,52.5,,,,,,,,,,,,
32246,19519,2022-12-13,29.69,31.826,4.124,8.855,10.066,10.91,7.445,,,,,,,,,,,,,,
35760,14095,2023-01-08,,,,,9.0,,8.0,,20.0,,,,,,,,,,,,
34731,16167,2022-11-18,28.4,30.5,2.9,3.783333333,,,7.7,7.733333333,50.0,,,,,,,,,,,,
31444,19214,2022-07-17,26.0,28.0,,,29.0,,7.9,8.5,47.5,,,,,,,,,,,,
19189,15435,2022-01-19,29.0,30.0,,,17.0,16.0,8.0,,35.0,,,,,,,,,,,,
36826,20151,2022-12-01,28.2,29.9,4.5,5.0,35.0,,7.3,,47.5,,0.011,0.0,0.0,98.0,5550.0,320.0,1361.0,0.0,98.0,99.0,1230000.0
12528,17438,2021-07-01,27.0,29.0,,,,,7.8,8.2,30.0,,,,,,,,,,,,
34723,18277,2023-03-28,28.45,27.9,3.95,5.8,22.0,,8.55,8.1,,,,,1.16,127.0,,,,,,,
34710,21350,2022-10-17,27.2,28.8,4.6,5.6,,,7.7,7.866666667,50.0,,,,,,,,,,,,
30607,16165,2023-03-09,29.9,32.3,,,20.0,,8.24,,100.0,,,,,,,,,,,,
19154,16573,2022-08-04,27.0,29.0,,,10.0,10.0,8.4,,47.5,,,,,,,,,,,,
38514,14220,2023-03-17,27.712,32.465,3.843,4.629,18.05,16.218,7.932,,,,,,,,,,,,,,
32200,17885,2022-10-15,27.1,28.6,4.72,5.45,23.0,22.0,7.85,,,,,,,,,,,,,,
13251,19615,2023-01-23,28.0,30.402,8.705,11.223,10.0,10.0,7.925,,27.5,,,,,,,,,,,,
38476,9095,2023-05-05,29.3,31.67,4.4,5.7,19.34,19.29,8.1,,,,,,,,,,,,,,
31454,18753,2022-06-20,27.0,30.0,,,27.0,,8.1,8.5,30.0,,,,,,,,,,,,
31443,20714,2022-12-06,27.0,29.0,,,30.0,,7.5,7.7,40.0,,,,,,,,,,,,
31460,15308,2022-11-19,27.4,29.0,6.098,,29.838,,8.387,9.2,25.0,,,,,,,,,,,,
31875,16513,2022-11-04,29.0,31.0,,,30.0,,9.1,9.3,40.0,,,,,,,,,,,,
34427,15502,2022-10-30,29.573,33.42,7.991,11.374,10.548,9.856,7.541,,,,,,,,,,,,,,
20107,17638,2022-04-06,28.0,32.0,,,22.0,22.0,8.0,8.2,37.5,,,,,,,,,,,,
32206,18635,2022-10-21,26.7,28.9,2.49,4.42,41.0,38.0,8.05,,,,,,,,,,,,,,
32210,21716,2022-05-29,28.3,29.7,5.0,8.0,23.0,22.0,7.88,,,,,,,,,,,,,,
20902,15484,2022-08-16,,,,,23.0,,7.65,,40.0,,,,,,,,,,,,
32192,17626,2022-09-24,26.9,30.3,5.35,5.48,34.2,34.3,8.3,,,,,,,,,,,,,,
2,16091,2022-09-05,27.6,30.248,4.8,5.229,19.5,18.581,8.2,,45.0,,,,,,,,,,,,
13267,16298,2022-07-29,,,,,17.0,17.0,8.3,,30.0,,,,,,,,,,,,
36818,18427,2022-12-24,27.6,27.9,4.16,4.65,31.5,,7.4,,35.0,,,,,,,,,,,,660000.0
32233,7616,2022-08-29,27.37,26.316,4.299,6.462,13.691,16.498,7.572,,,,,,,,,,,,,,
31460,21944,2022-04-20,28.0,,,,27.0,,8.4,,100.0,,,,0.012,106.0,5000.0,480.0,1098.0,20.0,86.0,68.0,
32259,17306,2022-05-07,29.0,29.4,5.0,5.0,17.0,17.0,7.78,,,,,,,,,,,,,,
12272,18755,2022-06-04,28.251,30.276,5.178,5.447,21.803,20.45,7.328,,35.0,,,,,,,,,,,,
36969,22535,2023-03-24,29.967,30.64,4.14,4.22,18.091,18.36,7.937,8.27,,,,,,,,,,,,,
37074,15493,2023-03-16,29.57,30.95,4.36,4.68,16.12,15.86,8.31,,,,,,,,,,,,,,
32188,18149,2022-06-12,27.5,29.9,4.89,5.79,23.5,22.2,7.95,,,,,,,,,,,,,,
32200,21688,2022-07-22,27.4,28.4,6.0,,25.0,24.5,7.36,7.59,,,,,,,,,,,,,
32401,17740,2022-05-08,27.3,31.8,5.0,6.54,16.6,17.0,7.41,,,,,,,,,,,,,,
32219,17687,2022-05-17,29.8,32.131,6.31,6.745,8.07,7.596,8.23,,,,,,,,,,,,,,
30350,19238,2022-04-13,,,,,,,,,,,,,,,,,,,,,
20107,17638,2022-04-15,28.0,31.0,,,22.0,22.0,7.9,8.1,37.5,,,,0.058,296.0,,,,32.0,264.0,180.0,130000.0
33328,21662,2023-06-01,,31.283,,2.16,,27.204,,,,,,,,,,,,,,,
18357,18670,2021-12-03,28.0,30.0,5.12,4.22,,25.0,7.65,8.0,,,,,,,,,,,,,
34700,7615,2023-04-11,27.766666667,29.9,3.766666667,6.1,,,7.066666667,7.5,30.0,,,,,,,,,,,,
34727,15970,2022-08-23,23.4,23.9,5.9,6.3,16.0,16.0,7.5,7.6,45.0,,,,,,,,,,,,
12574,12505,2022-06-25,26.2,28.6,,,,,7.4,7.5,40.0,,,,,,,,,,,,
36526,18831,2023-03-18,,,,,27.0,27.0,8.2,8.4,,,,,,,,,,,,,
34718,19048,2022-11-18,27.7,30.1,5.233333333,5.2,,,7.6,7.7,,,,,,,,,,,,,
3,17639,2022-04-03,29.509,31.571,5.244,5.712,17.813,9.009,7.795,,27.5,,,,,,,,,,,,
33965,15508,2022-07-20,27.4,,7.5,,,,8.2,,55.0,,,,,,,,,,,,
32247,18924,2022-06-28,26.5,29.2,4.5,7.82,16.0,16.0,7.5,,,,,,,,,,,,,,
25401,15767,2022-04-26,28.4,29.0,8.2,7.9,27.0,26.0,7.67,7.83,100.0,,,,,,,,,,,,
32306,15758,2022-06-05,27.1,28.6,6.5,6.0,8.0,8.0,7.43,,,,,,,,,,,,,,
32306,20971,2022-10-11,28.323,28.488,7.426,8.039,7.705,7.529,7.988,,,,,,,,,,,,,,
22419,17468,2022-10-10,26.1,28.7,6.0,8.2,15.0,132.0,7.9,,35.0,,,,,,,,,,,,
34719,18148,2022-11-21,28.333333333,29.466666667,5.466666667,5.5,,,7.5,7.9,30.0,,,,,,,,,,,,
20923,20668,2022-09-29,26.3,,6.32,,21.0,,7.46,,35.0,,,,,,,,,,,,
