id,farm_id,length,width,deep
16053,7941,49.27,36.96,2.0
30350,8409,20.0,15.7,1.2
32206,8368,40.0,15.0,1.0
34710,8470,70.71,70.71,1.5
32214,9044,36.51,27.39,1.4
18355,8306,58.88,44.16,1.6
19152,9501,87.51,65.64,1.5
19189,7941,66.77,50.08,2.0
32730,8304,64.0,14.0,1.5
12552,9103,61.1,45.83,1.5
24570,10324,10.71,8.03,1.0
31460,8529,55.29,41.47,1.2
32257,8373,40.0,25.0,1.0
36830,2410,32.0,32.0,1.3
35456,5993,100.0,25.0,1.2
12521,9375,56.57,42.43,1.5
12545,9103,60.0,45.0,1.2
18356,8306,39.5,29.62,1.6
39157,2300,50.0,40.0,1.4
32246,7996,40.0,40.0,1.5
2,8333,37.3,29.0,1.1
7384,8321,71.18,53.39,1.25
39725,8393,38.0,18.0,1.0
12277,10202,36.51,27.39,1.0
32192,8312,35.59,28.1,1.0
19198,9789,20.0,15.0,1.3
31329,8332,3.5,2.0,0.9
34187,3593,35.0,35.0,1.2
34698,8470,70.71,70.71,1.5
36829,2410,32.0,32.0,1.3
21960,9653,57.74,43.3,1.5
31478,8052,32.0,31.25,150.0
32247,10605,40.0,40.0,1.2
32370,9693,50.0,50.0,1.4
20102,8541,40.0,56.25,1.2
33362,5432,40.0,30.0,1.2
34732,8470,70.71,70.71,1.5
38252,10229,50.0,50.0,1.2
31466,8367,56.63,42.47,1.5
34716,8470,70.71,70.71,1.5
34977,10325,50.0,56.0,1.5
38367,9751,40.0,40.0,1.2
39615,7415,30.0,35.0,2.0
39889,8442,40.0,25.0,1.8
18357,8306,48.72,36.54,1.6
18389,8306,21.6,16.2,1.6
31459,8529,55.52,41.64,1.2
32319,10288,25.0,30.0,1.4
36826,2410,32.0,32.0,1.3
37074,8311,25.0,20.0,1.3
20902,10325,51.0,57.0,1.5
32252,10465,50.0,30.0,1.8
36139,8699,27.0,25.0,1.5
38591,10326,22.0,42.0,1.0
32188,7997,34.64,25.98,1.0
32640,8405,47.05,35.28,1.2
33270,869,40.0,25.0,1.0
14350,9070,37.24,27.93,1.1
32306,9225,44.71,33.55,1.7
33522,8286,40.0,40.0,2.0
36087,10248,55.0,55.0,1.2
36811,2410,32.0,32.0,1.3
25401,6206,43.2,32.4,1.4
33364,9463,40.0,40.0,1.3
34697,8470,70.71,70.71,1.5
34708,8470,70.71,70.71,1.5
7370,8321,63.25,47.43,1.25
7387,8321,63.25,47.43,1.25
20910,10325,54.0,27.0,1.5
32217,2526,32.0,60.0,1.2
34702,8470,70.71,70.71,1.5
34715,8470,70.71,70.71,1.5
9986,8335,68.31,51.23,1.35
18393,8306,21.6,16.2,1.6
20903,10325,56.0,58.0,1.5
23703,8318,38.3,28.72,
31454,8529,55.55,41.66,1.2
37100,8506,30.0,14.5,1.5
37801,9840,29.0,28.0,1.0
24193,5275,53.0,25.0,2.0
32892,9502,40.0,40.0,1.5
19194,9789,20.0,15.0,1.3
31247,10672,32.0,32.0,1.2
37707,9516,30.0,26.0,1.3
27259,8541,30.0,48.34,1.3
31477,8052,32.31,24.23,150.0
31480,8052,54.26,40.69,150.0
32198,4466,40.0,35.0,1.0
38259,10229,50.0,50.0,1.2
38760,4540,65.0,36.2,2.0
7369,8321,61.1,45.83,1.25
12537,9103,54.16,40.62,1.2
32212,7767,40.0,35.0,1.0
32324,8315,40.0,40.0,1.2
34491,8530,33.0,32.0,1.8
18354,8306,59.78,44.83,1.6
20923,10325,53.0,56.0,1.5
31258,8299,47.5,35.0,1.2
36789,8321,15.0,15.0,1.5
21965,9653,57.74,43.3,1.5
35565,8898,40.0,35.0,1.2
22418,6206,40.0,30.0,1.4
31335,8332,3.5,2.0,0.9
34031,8051,25.0,13.0,1.0
18211,8921,44.72,44.72,1.5
33946,7926,30.0,30.0,1.5
16690,9070,40.0,40.0,1.1
31877,8529,55.85,41.88,1.2
34718,8470,70.71,70.71,1.5
