cycle_id,sampled_at,average_weight
18395,2022-09-28,1.39
18395,2022-10-04,1.8
18395,2022-10-09,2.2
18395,2022-10-13,2.99
18395,2022-10-19,4.2
18395,2022-11-18,8.5
21892,2022-06-25,3.7
21892,2022-06-30,4.1
21892,2022-07-05,5.7
21892,2022-07-11,7.0
21892,2022-07-20,11.0
21892,2022-08-03,16.0
21892,2022-08-14,21.5
21599,2022-06-22,4.8
21599,2022-07-01,6.8
21599,2022-07-11,11.3
21599,2022-07-22,15.0
21599,2022-07-27,15.7
21599,2022-08-06,19.2
16163,2021-12-15,2.64
16163,2021-12-22,4.31
16163,2021-12-29,6.38
16163,2022-01-05,7.63
16163,2022-01-12,9.61
16163,2022-01-19,12.07
16163,2022-01-26,14.24
16163,2022-02-02,16.03
16163,2022-02-09,17.18
16163,2022-02-16,21.06
16163,2022-02-23,25.43
16163,2022-03-02,29.28
16163,2022-03-09,30.75
19319,2022-09-16,2.6
18238,2023-03-28,1.09
18238,2023-04-04,2.76
18238,2023-04-11,4.26
18238,2023-04-18,5.35
18238,2023-04-25,6.44
18238,2023-05-01,7.42
18238,2023-05-09,6.59
18238,2023-05-09,6.59
14579,2022-07-18,13.5
14579,2022-07-08,10.2
14579,2022-06-28,8.0
16215,2022-10-10,2.73
16215,2022-10-16,4.28
16215,2022-10-22,5.74
16215,2022-10-27,7.76
16215,2022-11-01,9.44
16215,2022-11-06,10.78
16215,2022-11-11,12.06
16215,2022-11-16,14.19
16215,2022-11-22,16.35
16215,2022-11-27,18.36
16215,2022-12-02,20.68
16215,2022-12-06,22.75
16215,2022-12-11,25.15
16215,2022-12-15,26.66
17743,2022-09-24,3.78
17743,2022-10-01,5.81
17743,2022-10-08,8.13
17743,2022-10-15,10.21
17743,2022-10-21,12.55
17743,2022-10-28,14.0
17743,2022-11-11,20.06
17743,2022-11-02,16.55
17743,2022-11-17,22.28
17743,2022-11-24,23.9
15802,2022-07-21,4.65
15802,2022-07-27,6.26
15802,2022-07-21,4.65
15802,2022-07-31,8.06
15802,2022-08-15,11.47
15802,2022-08-10,10.24
15802,2022-08-20,13.14
15802,2022-08-30,16.86
15802,2022-08-25,15.27
15802,2022-09-04,20.3
15802,2022-09-09,21.69
20944,2022-09-24,3.52
20944,2022-10-01,5.16
20944,2022-10-08,6.76
20944,2022-10-15,9.5
20944,2022-10-21,10.16
20944,2022-10-28,13.23
20944,2022-11-11,16.72
20944,2022-11-03,13.58
20944,2022-11-17,19.16
20944,2022-11-24,22.11
17857,2022-06-13,8.1
17857,2022-06-28,10.9
17857,2022-06-28,10.9
20390,2023-04-06,5.1
20390,2023-04-12,7.02
